2026-07-16 14:28:35.861 INFO    [main] (com.theice.cfapi.log.LogConfig setupAPILogging) API logging started for IDC API Client. 
2026-07-16 14:28:35.870 INFO    [main] (com.theice.cfapi.net.APIFactory initialize) Initializing commonfeed API [ClientSample-1.0.0], isDebug: false 
2026-07-16 14:28:35.873 INFO    [main] (com.theice.cfapi.session.SessionConfig set) Setting Parameter=MULTITHREADED_API_CONNECTIONS_BOOL, with value=false 
2026-07-16 14:28:35.874 INFO    [main] (com.theice.cfapi.session.SessionConfig set) MULTITHREADED_API_CONNECTIONS_BOOL=false 
2026-07-16 14:28:35.874 INFO    [main] (com.theice.cfapi.session.SessionConfig set) Setting Parameter=MAX_USER_THREADS_LONG, with value=-1 
2026-07-16 14:28:35.874 WARNING [main] (com.theice.cfapi.session.SessionConfig set) MAX_USER_THREADS_LONG set to invalid value of -1; will set to default of 1 
2026-07-16 14:28:35.875 INFO    [main] (com.theice.cfapi.session.SessionConfig set) MAX_USER_THREADS_LONG=1 
2026-07-16 14:28:35.875 INFO    [main] (com.theice.cfapi.session.SessionConfig set) Setting Parameter=MAX_CSP_THREADS_LONG, with value=-1 
2026-07-16 14:28:35.876 WARNING [main] (com.theice.cfapi.session.SessionConfig set) MAX_CSP_THREADS_LONG set to invalid value of -1; will set to default of 1 
2026-07-16 14:28:35.876 INFO    [main] (com.theice.cfapi.session.SessionConfig set) MAX_CSP_THREADS_LONG=1 
2026-07-16 14:28:35.876 INFO    [main] (com.theice.cfapi.session.SessionConfig set) Setting Parameter=MAX_REQUEST_QUEUE_SIZE_LONG, with value=-1 
2026-07-16 14:28:35.876 INFO    [main] (com.theice.cfapi.session.SessionConfig set) MAX_REQUEST_QUEUE_SIZE_LONG set to invalid value of -1; will set to default of 100000 
2026-07-16 14:28:35.876 INFO    [main] (com.theice.cfapi.session.SessionConfig set) MAX_REQUEST_QUEUE_SIZE_LONG=100000 
2026-07-16 14:28:35.878 INFO    [main] (com.theice.cfapi.session.ConnectionConfig set) CONFLATION_INDICATOR_BOOL=false 
2026-07-16 14:28:35.878 INFO    [main] (com.theice.cfapi.session.ConnectionConfig set) COMPRESSION_BOOL=true 
2026-07-16 14:28:35.878 INFO    [main] (com.theice.cfapi.session.ConnectionConfig set) READ_TIMEOUT_LONG=5 
2026-07-16 14:28:35.878 INFO    [main] (com.theice.cfapi.session.ConnectionConfig set) QUEUE_SIZE_LONG=1 
2026-07-16 14:28:35.878 INFO    [main] (com.theice.cfapi.session.ConnectionConfig set) CONFLATION_INTERVAL_LONG=1000 
2026-07-16 14:28:35.879 INFO    [main] (com.theice.cfapi.session.ConnectionConfig setHostconfig) ConnectionConfigImpl::setHostconfig: Recording new hostConfig (216.221.209.61:7022) as primary connection. 
2026-07-16 14:28:35.880 INFO    [main] (com.theice.cfapi.session.ConnectionConfig setHostconfig) ConnectionConfigImpl::setHostconfig: Recording new hostConfig (216.221.209.62:7022) as backup connection. 
2026-07-16 14:28:35.880 WARNING [main] (com.theice.cfapi.net.APIFactory createSession) Creating a valid Commonfeed Java ApiSession. 
2026-07-16 14:28:35.887 INFO    [main] (com.theice.cfapi.net.IdcSessionImpl <init>) Loaded 3 properties from config/cfapi.properties props file. 
2026-07-16 14:28:35.887 INFO    [main] (com.theice.cfapi.net.IdcSessionImpl <init>) CFAPI_VERSION=V1.7.0.8, CFAPI_VDATE=20260317 
2026-07-16 14:28:35.889 INFO    [main] (com.theice.cfapi.net.IdcSessionImpl init) Initializing requestQueue with maxRequestQueueSize=100000 size. 
2026-07-16 14:28:35.889 INFO    [main] (com.theice.cfapi.net.IdcSessionImpl init) Initializing getPortDetailsQueue with getPortDetailsQueueSize=1 size 
2026-07-16 14:28:35.890 INFO    [main] (com.theice.cfapi.session.ConnectionConfig clearHostConfigsMap) Clearing off 0 hostConfig entries from hostConfigMap. 
2026-07-16 14:28:35.890 INFO    [main] (com.theice.cfapi.session.ConnectionConfig recordHostConfig) new hostConfigMap entry for (216.221.209.62:7022); hostConfigMap.size()=1 
2026-07-16 14:28:35.890 INFO    [main] (com.theice.cfapi.session.ConnectionConfig recordHostConfig) new hostConfigMap entry for (216.221.209.61:7022); hostConfigMap.size()=2 
2026-07-16 14:28:35.890 INFO    [main] (com.theice.cfapi.net.IdcSessionImpl init) m_CMIPS=[216.221.209.61, 216.221.209.62], primaryPorts=[7022], backupPorts=[7022] 
2026-07-16 14:28:35.890 INFO    [main] (com.theice.cfapi.net.IdcSessionImpl init) Initialized m_queueDepthThreshold to 70 percent 
2026-07-16 14:28:35.890 INFO    [main] (com.theice.cfapi.net.IdcSessionImpl start) Starting Session 
2026-07-16 14:28:35.891 INFO    [main] (com.theice.cfapi.net.IdcSessionImpl start) CFAPI version : V1.7.0.8 
2026-07-16 14:28:35.891 INFO    [API-MasterThread] (com.theice.cfapi.net.IdcSessionImpl startWorkerThreads) startWorkerThreads(ENTRY): startBackup= false, failoverEnabled true 
2026-07-16 14:28:35.891 INFO    [API-MasterThread] (com.theice.cfapi.net.IdcSessionImpl startWorkerThreads) Connection string: 216.221.209.61:7022 
2026-07-16 14:28:35.892 INFO    [API-MasterThread] (com.theice.cfapi.net.IdcSessionImpl initCspAndUserEventReactors) Initializing CSP Event Reactor with 1 worker threads. 
2026-07-16 14:28:35.892 INFO    [API-MasterThread] (com.theice.cfapi.net.IdcSessionImpl initCspAndUserEventReactors) Initializing User Event Reactor with 1 worker threads. 
2026-07-16 14:28:35.892 INFO    [API-MasterThread] (com.theice.cfapi.net.IdcSessionImpl startWorkerThreads) startWorkerThreads: hostInfoString=216.221.209.61:7022; hostConfigMap.size()=2; cspClientsMap.size()=0 
2026-07-16 14:28:35.893 INFO    [API-MasterThread] (com.theice.cfapi.net.IdcSessionImpl startWorkerThreads) Creating first connection with id : 216.221.209.61:7022 
2026-07-16 14:28:35.893 INFO    [API-MasterThread] (com.theice.cfapi.net.IdcSessionImpl createCspConnection) Creating a new connection with 216.221.209.61:7022 hostConfigKey as connection identifier. 
2026-07-16 14:28:35.893 INFO    [API-MasterThread] (com.theice.cfapi.session.ConnectionConfig createHostConfigIfNotAvailable) ConnectionConfigImpl::getHostConfig(ENTRY): HostConfig object found mapped to hostInfoString (216.221.209.61:7022) 
2026-07-16 14:28:35.896 INFO    [API-MasterThread] (com.theice.cfapi.net.IdcSessionImpl createCspConnectionInternal) Creating new connection with key=216.221.209.61:7022 mapped to cspEventReactor=CspEventReactor-Agent-0, connectionRetryLimit=5, connectionTimeoutInMillis=5000, readTimeout=5000 
2026-07-16 14:28:35.897 INFO    [API-MasterThread] (com.theice.cfapi.net.FieldDictionary <init>) Setting up FieldDictionary and bootstraping CDD, fdCounter val: 1 
2026-07-16 14:28:35.898 INFO    [API-MasterThread] (com.theice.cfapi.session.ConnectionConfig getLocalIp) No Local NAT address found for 216.221.209.61 
2026-07-16 14:28:35.913 INFO    [API-MasterThread] (com.theice.cfapi.session.ConnectionConfig getCsplIp) No CSP NAT address found for 216.221.209.61 
2026-07-16 14:28:35.913 INFO    [API-MasterThread] (com.theice.cfapi.net.IdcConnection <init>) Created new IDC connection with id: 216.221.209.61:7022 mapped to cspAddress: 216.221.209.61:7022 
2026-07-16 14:28:35.915 INFO    [API-MasterThread] (com.theice.cfapi.net.CircularByteBuffer <init>) 216.221.209.61:7022 - Created CircularByteBuffer: slabSize=1048576 bytes, maxMessages=10485, total memory=1132456 bytes 
2026-07-16 14:28:35.915 INFO    [API-MasterThread] (com.theice.cfapi.net.CircularQueue <init>) 216.221.209.61:7022 - Creating a queue with capacity for 10485 messages and max size 1048576 
2026-07-16 14:28:35.916 INFO    [API-MasterThread] (com.theice.cfapi.net.IdcConnectionCompress <init>) Created new IDC connection 216.221.209.61:7022 with compression. 
2026-07-16 14:28:35.916 INFO    [API-MasterThread] (com.theice.cfapi.net.IdcSessionImpl addTofirstCspClientLst) Adding FirstCspClient with 216.221.209.61:7022 id at 0 index in the firstCspClient List. 
2026-07-16 14:28:35.916 INFO    [API-MasterThread] (com.theice.cfapi.net.IdcSessionImpl createCspConnectionInternal) Mapping firstCspClient to connection with id=216.221.209.61:7022, cspAddress=216.221.209.61:7022 
